,variable,unit,value,Stellar flux,assumption
0,T1,K,271.8374637354997,1000.0,WTG
1,T2,K,242.12947268351652,1000.0,WTG
2,T3,K,242.12947268351652,1000.0,WTG
3,T4,K,163.5141383716033,1000.0,WTG
4,Fa,W/$m^2$,62.702693097968655,1000.0,WTG
5,Fc,W/$m^2$,82.96457062897235,1000.0,WTG
6,fc,,0.3544315945314671,1000.0,WTG
7,q1,kg/kg,0.003187917215822912,1000.0,WTG
8,q2,kg/kg,0.00041348992226353427,1000.0,WTG
9,q3,kg/kg,0.00015505872084882534,1000.0,WTG
10,alpha_p,,0.41253275102363507,1000.0,WTG
11,epsilon2,,0.33866180086106035,1000.0,WTG
12,epsilon3,,0.14363511046606525,1000.0,WTG
13,T1,K,271.83299183682357,1000.0,WBG
14,T2,K,242.12368602492398,1000.0,WBG
15,T3,K,242.1584071207104,1000.0,WBG
16,T4,K,163.5141741808774,1000.0,WBG
17,Fa,W/$m^2$,62.70514526126318,1000.0,WBG
18,Fc,W/$m^2$,82.9630190671199,1000.0,WBG
19,fc,,0.3544301162163383,1000.0,WBG
20,q1,kg/kg,0.0031868707623312464,1000.0,WBG
21,q2,kg/kg,0.0004132689353830267,1000.0,WBG
22,q3,kg/kg,0.000154975850768635,1000.0,WBG
23,alpha_p,,0.41253140575686786,1000.0,WBG
24,epsilon2,,0.33851563764599046,1000.0,WBG
25,epsilon3,,0.1435641404983945,1000.0,WBG
26,T1,K,272.77487913202134,1035.3535353535353,WTG
27,T2,K,243.35154518702618,1035.3535353535353,WTG
28,T3,K,243.35154518702618,1035.3535353535353,WTG
29,T4,K,168.48274025642522,1035.3535353535353,WTG
30,Fa,W/$m^2$,70.08289485631089,1035.3535353535353,WTG
31,Fc,W/$m^2$,91.12915186555875,1035.3535353535353,WTG
32,fc,,0.3618553133787282,1035.3535353535353,WTG
33,q1,kg/kg,0.003414245155863844,1035.3535353535353,WTG
34,q2,kg/kg,0.00046264661962576274,1035.3535353535353,WTG
35,q3,kg/kg,0.00017349248235966103,1035.3535353535353,WTG
36,alpha_p,,0.41928833517464265,1035.3535353535353,WTG
